---,Step#,Dialogue,Audio,IsComplete,NextStepID,HintMap
4.2,"11","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""4.2_Dialogue"", ""CASSIE: Are you certain you?ve left no drawer unchecked? Have you truly taken the time to examine every detail with the utmost of care?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_4__2.Puzzle_4__2'","False","12","()"
4.3,"12","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""4.3_Dialogue"", ""CASSIE: While you?re moving in the right direction, the puzzle still remains incomplete. There are still pieces yet to be uncovered."")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_4__3.Puzzle_4__3'","False","13","()"
4.4,"13","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""4.4_Dialogue"", ""CASSIE: Combine the scattered clues with care to explore different combinations until the answer emerges upon the board.?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_4__4.Puzzle_4__4'","False","14","()"
5.1,"14","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""5.1_Dialogue"", ""CASSIE: Examine the words within the riddle closely; let any key phrase or subtle detail reveal itself to you."")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_5__1.Puzzle_5__1'","False","15","()"
5.2,"15","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""5.2_Dialogue"", ""CASSIE: Study the newspaper closely. I?m certain a date, perhaps the very year, will reveal itself to you."")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_5__2.Puzzle_5__2'","False","16","()"
5.3,"16","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""5.3_Dialogue"", ""CASSIE: Unravel the latest transgression of Cromwell, and in doing so, the answer will provide some clarity.?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_5__3.Puzzle_5__3'","False","17","()"
5.4,"17","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""5.4_Dialogue"", ""CASSIE: In time, sparked by a bit of knowledge, the door will unlock. In the meantime, take note of the finer details; for the floor you stand on holds a greater significance than you may realize. "")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_5__4.Puzzle_5__4'","False","18","()"
5.5,"18","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""5.5_Dialogue"", ""CASSIE: Compile the evidence gathered to reveal the passcode to move forth."")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_5__4.Puzzle_5__4'","False","19","()"
6.1,"19","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""6.1_Dialogue"", ""CASSIE: Align your focus. Both the size and the colors undoubtedly hold the key in unlocking the solution. "")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_6.Puzzle_6'","False","20","()"
7.1,"20","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""7.1_Dialogue"", ""CASSIE: Pin the locations of his heinous schemes. Unravel the web of deceit, and in doing so, preserve the lives at stake."")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_7.Puzzle_7'","False","21","()"
8.1,"21","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""8.1_Dialogue"", ""CASSIE: On the interior of the wardrobe, there appears to be a discrepancy in the pattern. Surely, something is hidden within."")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_8__1.Puzzle_8__1'","False","22","()"
8.2,"22","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""8.2_Dialogue"", ""CASSIE: Use the clues from the newspaper in hand. Surely, you can decipher the missing pieces and complete the ledger.?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_8__2.Puzzle_8__2'","False","-1","()"
